name,Wikipedia Link,location,status,security,security_class_cleaned,capacity,capacity_cleaned,pop,pop_cleaned,pop_measured_time,opened,year_opened,Notes Section,closed,managed_by,director,built,built by
South Central Correctional Facility,https://en.wikipedia.org/wiki/South_Central_Correctional_Facility,"555 Forrest Avenue Clifton, Tennessee",open,medium,medium,1676,1666,,1608,2020,1992,1992,Capacity and Population from April 2020 https://www.tn.gov/content/dam/tn/correction/documents/BedApril2020.pdf,,CoreCivic,,,
Trousdale Turner Correctional Center,https://en.wikipedia.org/wiki/Trousdale_Turner_Correctional_Center,"140 Macon Way Hartsville, Tennessee",open,"Medium, few Max.",medium,2500,2501,,2482,2020,2016,2016,"Capacity and population per April 2020 report: https://www.tn.gov/content/dam/tn/correction/documents/BedApril2020.pdf

Classified as Medium Security. Does have some max security pods in their segregation unit.",,CoreCivic,,,
Whiteville Correctional Facility,https://en.wikipedia.org/wiki/Whiteville_Correctional_Facility,"1440 Union Springs Road Whiteville, Tennessee",open,medium security,medium,1536,1505,,1470,2020,2002,2002,Population from April 2020 https://www.tn.gov/content/dam/tn/correction/documents/BedApril2020.pdf,,CoreCivic,,,
Bradshaw State Jail,https://en.wikipedia.org/wiki/Bradshaw_State_Jail,"3900 W Loop 571 N Henderson, Texas",open,,medium,1980,1980,,,,July 1995; CCA managed since 2004,1995,CCA managed since 2004. Couldn't find current population.,,M.T.C,,,
Rogelio Sanchez State Jail,https://en.wikipedia.org/wiki/Rogelio_Sanchez_State_Jail,"3901 State Jail RoadEl Paso, Texas",open,,medium,1100,1100,,,,Feb 1996,1996,Couldn't find current population. ,,Texas Department of Criminal Justice,,,
Willacy County State Jail,https://en.wikipedia.org/wiki/Willacy_County_State_Jail,"1695 South Buffalo Drive Raymondville, Texas",open,,medium,1069,1069,,,,1996,1996,Can't find population. Privately run by Corrections Corporation of America.,,La Salle Corrections,,,
Augusta Correctional Center,https://en.wikipedia.org/wiki/Augusta_Correctional_Center,"1821 Estaline Valley RoadCraigsville, Virginia",Open,Close,medium,1097,1323,,1320,2020,1986,1986,Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf,,Virginia Department of Corrections,,,
Coffeewood Correctional Center,https://en.wikipedia.org/wiki/Coffeewood_Correctional_Center,"12352 Coffeewood Drive Mitchells, Virginia",open,medium,medium,1193,1193,,996,2020,1994,1994,Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf,,Virginia Department of Corrections,,,
Fluvanna Correctional Center for Women,https://en.wikipedia.org/wiki/Fluvanna_Correctional_Center_for_Women,"Route 250 WestTroy, Virginia 22974",Operational,Level 3[1],medium,"1,200",1200,"1,199 (as of June 2008)",1115,2020,April 1998,1998,Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf,,Virginia Department of Corrections,,,
Greensville Correctional Center,https://en.wikipedia.org/wiki/Greensville_Correctional_Center,"901 Corrections WayJarratt, Virginia 23870-9614",Operational,Level 3 (correctional center)Level 1 (work center),medium,,3007,"3,055[1] (as of June 2008)",2894,2020,September 1990,1990,"Minimum security Work Center also on complex, capacity is 1,267. This number is included in the Edited Capacity because they apprear to include numbers for both facilities in the Edited Population, the total for just the correctional center would be 1,740. Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf",,Virginia Department of Corrections,,,
Indian Creek Correctional Center,https://en.wikipedia.org/wiki/Indian_Creek_Correctional_Center,"Chesapeake, Virginia",Operational,Medium,medium,,1105,"1,002 (as of June 2008)",968,2020,1994,1994,Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf,,Virginia Department of Corrections,,,
Lawrenceville Correctional Center,https://en.wikipedia.org/wiki/Lawrenceville_Correctional_Center,"1607 Planters Road Lawrenceville, Virginia",open,medium,medium,1555,1555,,1536,2020,1998,1998,"Operated by GEO Group since 2003, Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf",,GEO Group,,,
Pocahontas State Correctional Center,https://en.wikipedia.org/wiki/Pocahontas_State_Correctional_Center,"920 Old River Road Pocahontas, Virginia",open,medium,medium,1024,1024,,1035,2020,2007,2007,Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf,,Virginia Department of Corrections,,,
River North Correctional Center,https://en.wikipedia.org/wiki/River_North_Correctional_Center,"329 Dellbrook Lane Independence, Virginia",open,medium,medium,1024,1024,,911,2020,2013,2013,Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf,,Virginia Department of Corrections,,,
St. Brides Correctional Center,https://en.wikipedia.org/wiki/St._Brides_Correctional_Center,"701 Sanderson Road Chesapeake, Virginia",,medium security,medium,1192,1192,,1171,2020,1973,1973,"Rebuilt in 2007, Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf",,Virginia Department of Corrections,"James Beale , Warden",,
Denmar Correctional Center,https://en.wikipedia.org/wiki/Denmar_Correctional_Center,"4319 Denmar Road Hillsboro, West Virginia",open,,medium,235,235,,200,2019,1993,1993,Population from 2019 annual report: https://dcr.wv.gov/resources/Documents/FY2019%20ANNUAL%20REPORT%20WVDCR.pdf,,West Virginia Division of Corrections and Rehabilitation,,,
"Federal Correctional Institution, Gilmer","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_Gilmer","Gilmer County,near Glenville, West Virginia",Operational,Medium-Security (with minimum-security prison camp),medium,,,"1,730 (160 in prison camp)",1471,2020,,,"Adjacent Prison Camp: minimum security, 60 inmates, can't find capacity or year opened. https://www.bop.gov/locations/institutions/gil/",,Federal Bureau of Prisons,,,
Huttonsville Correctional Center,https://en.wikipedia.org/wiki/Huttonsville_Correctional_Center,"US-250 Huttonsville, West Virginia",open,close,medium,1186,1186,,1135,2019,1939,1939,Security class and population changed per 2019 annual report: https://dcr.wv.gov/resources/Documents/FY2019%20ANNUAL%20REPORT%20WVDCR.pdf,,West Virginia Division of Corrections and Rehabilitation,,,
Kettle Moraine Correctional Institution,https://en.wikipedia.org/wiki/Kettle_Moraine_Correctional_Institution,Town of Mitchell,Operational,Medium,medium,783,783,"1,183 males (as of FY 2015[1])",1186,2018,1962,1962,Population changed per annual report: https://doc.wi.gov/Documents/OffenderInformation/AdultInstitutions/KMCIAnnualReport.pdf,,Wisconsin Department of CorrectionsDivision of Adult Institutions,Thomas Pollard,,
Milwaukee Secure Detention Facility,https://en.wikipedia.org/wiki/Milwaukee_Secure_Detention_Facility,"1015 N 10th Street Milwaukee, Wisconsin",open,medium,medium,1040,1040,,1024,2019,October 2001,2001,Capacity and Population changed per annual report: https://doc.wi.gov/Documents/OffenderInformation/AdultInstitutions/MSDFAnnualReport.pdf,,Wisconsin Department of Corrections,,,
New Lisbon Correctional Institution,https://en.wikipedia.org/wiki/New_Lisbon_Correctional_Institution,"2000 Progress Road New Lisbon, Wisconsin",open,medium,medium,1000,950,,1034,2019,2004,2004,Capacity and Population changed per annual report: https://doc.wi.gov/Documents/OffenderInformation/AdultInstitutions/NLCIAnnualReport.pdf,,Wisconsin Department of Corrections,,,
Oshkosh Correctional Institute,https://en.wikipedia.org/wiki/Oshkosh_Correctional_Institution,"1730 W Snell Road Oshkosh, Wisconsin",Operational,Medium,medium,2000,1494,,2059,2019,1986; 34 years ago,1986,Capacity and Population changed per annual report: https://doc.wi.gov/Documents/OffenderInformation/AdultInstitutions/OSCIAnnualReport.pdf,,Wisconsin Department of Corrections,,,
Racine Correctional Institution,https://en.wikipedia.org/wiki/Racine_Correctional_Institution,"2019 Wisconsin Street Sturtevant, Wisconsin",open,medium,medium,1573,1321,,1843,2019,1991,1991,Capacity and Population changed per annual report: https://doc.wi.gov/Documents/OffenderInformation/AdultInstitutions/RCIAnnualReport.pdf,,Wisconsin Department of Corrections,,,
Stanley Correctional Institution,https://en.wikipedia.org/wiki/Stanley_Correctional_Institution,"100 Corrections Drive Stanley, Wisconsin",open,medium,medium,1500,1500,,1578,2019,1998,2003,Population and year changed according to annual report: https://doc.wi.gov/Documents/OffenderInformation/AdultInstitutions/SCIAnnualReport.pdf,,Wisconsin Department of Corrections,,,
Kentucky State Reformatory,https://en.wikipedia.org/wiki/Kentucky_State_Reformatory,"3001 W Hwy 146, LaGrange, Kentucky",open,medium,medium,2005,2005,,,,1939,1939,,,Kentucky Department of Corrections,,,
Luther Luckett Correctional Complex,https://en.wikipedia.org/wiki/Luther_Luckett_Correctional_Complex,"1612 Dawkins Road La Grange, Kentucky",open,Medium/Maximum,medium,1204,1204,,,,1981,1981,,,Kentucky Department of Corrections,,,
Western Kentucky Correctional Complex,https://en.wikipedia.org/wiki/Western_Kentucky_Correctional_Complex,"Lyon County, Kentucky, US",Operational,Medium,medium,NA,,693 (as of October 2019),693,,1968,1968,,,,,,
Missouri Eastern Correctional Center,https://en.wikipedia.org/wiki/Missouri_Eastern_Correctional_Center,,Operational,Medium (Level 4),medium,1130,1130,1099 (as of 30 March 2019),1099,,1981,1981,,,Missouri Department of Corrections,,,
Southern Desert Correctional Center,https://en.wikipedia.org/wiki/Southern_Desert_Correctional_Center,"20825 Cold Creek Road Indian Springs, Nevada",open,medium,medium,2149,2149,,,,1982,1982,,,Nevada Department of Corrections,,,
Northern New Hampshire Correctional Facility,https://en.wikipedia.org/wiki/Northern_New_Hampshire_Correctional_Facility,"Berlin, New Hampshire",Operational,Medium,medium,665,665,,,,2000,2000,,,New Hampshire Department of Corrections,,,
"Federal Correctional Institution, Fairton","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_Fairton","Fairfield Township, Cumberland County,near Fairton, New Jersey",Operational,Medium security (with minimum-security prison camp),medium,,,"1,460 (120 in prison camp)",1460,,,,,,Federal Bureau of Prisons,,,
Lea County Correctional Center,https://en.wikipedia.org/wiki/Lea_County_Correctional_Center,"6900 West Millen Drive, Hobbs, New Mexico",,medium security,medium,1200,1200,,,,1998,1998,,,GEO Group,Dwayne Santistevan,,
Adirondack Correctional Facility,https://en.wikipedia.org/wiki/Adirondack_Correctional_Facility,"196 Old Ray Brook Road Ray Brook, New York",open,medium,medium,566,566,,,,1904; prison since 1971,1971,,,New York State Department of Corrections and Community Supervision,,,
Albion Correctional Facility,https://en.wikipedia.org/wiki/Albion_Correctional_Facility,"3595 State School Road Albion, New York",open,medium,medium,1247,1247,,,,1894,1894,,,New York State Department of Corrections and Community Supervision,,,
Altona Correctional Facility,https://en.wikipedia.org/wiki/Altona_Correctional_Facility,"555 Devils Den Road Altona, New York",open,medium,medium,512,512,,,,1983,1983,,,New York State Department of Corrections and Community Supervision,,,
Bare Hill Correctional Facility,https://en.wikipedia.org/wiki/Bare_Hill_Correctional_Facility,"181 Brand Road Malone, New York",open,medium,medium,1722,1722,,,,1988,1988,,,New York State Department of Corrections and Community Supervision,,,
Collins Correctional Facility,https://en.wikipedia.org/wiki/Collins_Correctional_Facility,"Collins, New York, USA",Operational,Medium Security,medium,1700,1700,,,,1982,1982,,,New York State Department of Corrections and Community Supervision,,,
"Federal Correctional Institution, Otisville","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_Otisville","Town of Mount Hope, Orange County,near Otisville, New York",Operational,Medium-security (with minimum-security prison camp),medium,,,825 (110 in prison camp),935,,1977,1977,,,Federal Bureau of Prisons,,,
"Federal Correctional Institution, Ray Brook","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_Ray_Brook","North Elba, Essex County,near Saranac Lake, New York",Operational,Medium security,medium,,,Approx. 800,800,,1980,1980,,,Federal Bureau of Prisons,,,
Franklin Correctional Facility,https://en.wikipedia.org/wiki/Franklin_Correctional_Facility,"Malone, New York",open,medium,medium,1730,1730,,,,1986,1986,,,New York State Department of Corrections and Community Supervision,,,
Gouverneur Correctional Facility,https://en.wikipedia.org/wiki/Gouverneur_Correctional_Facility,"112 Scotch Settlement Road Gouverneur, New York",open,medium,medium,800,800,,,,1990,1990,,,New York State Department of Corrections and Community Supervision,,,
Gowanda Correctional Facility,https://en.wikipedia.org/wiki/Gowanda_Correctional_Facility,"Gowanda, New York, USA",Operational,Medium Security,medium,2300,2300,,,,1994,1994,,,New York State Department of Corrections and Community Supervision,,,
Groveland Correctional Facility,https://en.wikipedia.org/wiki/Groveland_Correctional_Facility,"7000 Sonyea Road Sonyea, New York",open,medium,medium,1106,1106,,,,1982,1982,,,New York State Department of Corrections and Community Supervision,,,
Marcy Correctional Facility,https://en.wikipedia.org/wiki/Marcy_Correctional_Facility,"9000 Old River Road Marcy, New York",open,medium,medium,1522,1522,,,,1989,1989,,,New York State Department of Corrections and Community Supervision,,,
Ogdensburg Correctional Facility,https://en.wikipedia.org/wiki/Ogdensburg_Correctional_Facility,"One Correction Way Ogdensburg, New York",open,medium,medium,NA,,,,,1982,1982,,,New York State Department of Corrections and Community Supervision,,,
Orleans Correctional Facility,https://en.wikipedia.org/wiki/Orleans_Correctional_Facility,"35-31 Gaines Basin Road Albion, New York",open,medium,medium,1082,1082,,,,,,,,New York State Department of Corrections and Community Supervision,,,
Otisville Correctional Facility,https://en.wikipedia.org/wiki/Otisville_Correctional_Facility,"57 Sanitorium Avenue Otisville, New York",open,medium,medium,700,700,,,,1976,1976,,,New York State Department of Corrections and Community Supervision,,,
Riverview Correctional Facility,https://en.wikipedia.org/wiki/Riverview_Correctional_Facility,"1110 Tibbitts Drive Ogdensburg, New York",open,medium,medium,882,882,,,,1988,1988,,,New York State Department of Corrections and Community Supervision,,,
Taconic Correctional Facility,https://en.wikipedia.org/wiki/Taconic_Correctional_Facility,"250 Harris Road Bedford Hills, New York",open,medium,medium,502,502,,,,1973,1973,,,New York State Department of Corrections and Community Supervision,,,
Wallkill Correctional Facility,https://en.wikipedia.org/wiki/Wallkill_Correctional_Facility,"50 Mc Kendrick Road Wallkill, New York",open,medium,medium,606,606,,,,1933,1933,,,New York State Department of Corrections and Community Supervision,,,
Washington Correctional Facility,https://en.wikipedia.org/wiki/Washington_Correctional_Facility,"Comstock, Town of Fort Ann,Washington County, New York, USA",Operational,Medium,medium,882,882,,,,1985,1985,,,New York State Department of Corrections and Community Supervision,,,
Woodbourne Correctional Facility,https://en.wikipedia.org/wiki/Woodbourne_Correctional_Facility,"99 Prison Road Woodbourne, New York",open,medium,medium,849,849,,,,1933,1933,,,New York State Department of Corrections and Community Supervision,,,
Wyoming Correctional Facility,https://en.wikipedia.org/wiki/Wyoming_Correctional_Facility,"3203 Dunbar Road Attica, New York",open,medium,medium,1722,1722,,,,1984,1984,,,New York State Department of Corrections and Community Supervision,,,
